scale,V_xyz,V_ivm
0.0,0.0,0.0
0.25,0.0018414239093399684,0.001953125000000001
0.5,0.014731391274719738,0.015624999999999997
0.75,0.04971844555217912,0.05273437499999999
1.0,0.1178511301977579,0.12499999999999997
1.25,0.23017798866749598,0.24414062500000003
1.5,0.39774756441743314,0.4218750000000001
1.75,0.6316084009036088,0.6699218749999999
2.0,0.9428090415820632,0.9999999999999998
2.25,1.3423980299088365,1.423828125
2.5,1.841423909339968,1.9531250000000004
2.75,2.4509352233314967,2.5996093749999996
3.0,3.1819805153394642,3.375
3.25,4.045608328819909,4.291015625
3.5,5.052867207228872,5.359375000000001
3.75,6.21480569402239,6.591796874999999
4.0,7.542472332656505,7.999999999999997
4.25,9.046915666587259,9.595703124999996
4.5,10.739184239270688,11.390624999999996
4.75,12.630326594162845,13.396484375000007
5.0,14.731391274719734,15.624999999999991
